"LOCATION_OFFICE","COMPANY_CD","COMPANY_NAME","COMPANY_TYPE","BRAND_NAME","PART_NO","PART_DESCRIPTION","GOOD_STOCK","DEFECTIVE_STOCK","ENGG_GOOD_STOCK","ENGG_DEFECTIVE_STOCK","TOTAL_GOOD_STOCK","TOTAL_DEFECTIVE_STOCK","CUSTOMER_CODE","DIVISION_NAME",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","28850707320'","1200 A/QUIET BLDC MTR FOR SVC MYGLD","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25120480040'","48""Gratia Stator","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24193160101'","5 LEAF BLADE-SAN2300+SBC6%-SIG.WH-STYLUS","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24193160103'","5 LEAF BLADE-SAN2300+SBC6%-SIGNAL WHITE","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24193160012'","5 LEAF SAN BLADE-160G-LIGHT BLUE TINTED","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD501OH023'","50 mm Castor Wheels ( 4 Nos. - 2 with Lo","0","0","4","0","4","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25120480055'","56Ã¢â‚¬Â�? CIVIL STATOR","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24135000032'","ABS D/R COV. ASSY CAR. BRN AEROQUIET","0","0","2","0","2","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701017001'","AEROSENSE BLDC MAIN PCB ASSY AGG","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160530004'","AEROSENSE UL BLDC LED PCB","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701180001'","AEROSENSE UL BLDC MAIN PCB ASSY AGG","0","0","0","0","0","0","8201043","Fans",
