"BRAND","PART","DESCRIPTION","PRODUCT","MAPPED_MODEL","MODEL_DESCRIPTION","MAX_USED_QTY","SERVICE_LEVEL","PART_LOCATION","STATUS","LAST_UPDATED_DATE",
"ORIENT","30101002110"," Arctic Air FX B/C w/Bearing  Soft Pearl","Cfan_Eco","3134847914511","1400 MM ARCTIC AIR SOFT PEARL 1 STAR","1","  ","  ","Active","03/06/2025 15:36:27",
"ORIENT","30101002110"," Arctic Air FX B/C w/Bearing  Soft Pearl","Cfan_Eco","3134847932011","1400 Arctic Air S Pearl 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002110"," Arctic Air FX B/C w/Bearing  Soft Pearl","Cfan_Eco","3134862814510","1200mm Arctic Air FX SPRL 1ST","1","  ","  ","Active","01/07/2025 18:08:08",
"ORIENT","30101002110"," Arctic Air FX B/C w/Bearing  Soft Pearl","Cfan_Eco","3134862834510","1200 Arctic Air FX S Pearl HS 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002109"," Arctic Air FX B/C with Bearing   WHITE","Cfan_Eco","3134847911011","1400 MM ARCTIC AIR WHITE 1 STAR","1","  ","  ","Active","03/06/2025 15:36:27",
"ORIENT","30101002109"," Arctic Air FX B/C with Bearing   WHITE","Cfan_Eco","3134847934511","1400 Arctic Air White 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002109"," Arctic Air FX B/C with Bearing   WHITE","Cfan_Eco","3134862811010","1200MM Arctic Air FX WHT 1ST","1","  ","  ","Active","01/07/2025 18:08:08",
"ORIENT","30101002109"," Arctic Air FX B/C with Bearing   WHITE","Cfan_Eco","3134862831010","1200 Arctic Air FX White HS 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002108"," Arctic Air FX B/C with Bearing Brown","Cfan_Eco","3134847912011","1400 MM ARCTIC AIR BROWN 1 STAR","1","  ","  ","Active","03/06/2025 15:36:27",
"ORIENT","30101002108"," Arctic Air FX B/C with Bearing Brown","Cfan_Eco","3134847931011","1400 Arctic Air Brown 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002108"," Arctic Air FX B/C with Bearing Brown","Cfan_Eco","3134862812010","1200mm Arctic Air FX BRN 1ST","1","  ","  ","Active","01/07/2025 18:08:08",
"ORIENT","30101002108"," Arctic Air FX B/C with Bearing Brown","Cfan_Eco","3134862832010","1200 Arctic Air FX Brown HS 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002113"," Arctic Air FX T/C w/Bearing Soft Pearl","Cfan_Eco","3134847914511","1400 MM ARCTIC AIR SOFT PEARL 1 STAR","1","  ","  ","Active","03/06/2025 15:36:27",
"ORIENT","30101002113"," Arctic Air FX T/C w/Bearing Soft Pearl","Cfan_Eco","3134847932011","1400 Arctic Air S Pearl 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002113"," Arctic Air FX T/C w/Bearing Soft Pearl","Cfan_Eco","3134862814510","1200mm Arctic Air FX SPRL 1ST","1","  ","  ","Active","01/07/2025 18:08:08",
"ORIENT","30101002113"," Arctic Air FX T/C w/Bearing Soft Pearl","Cfan_Eco","3134862834510","1200 Arctic Air FX S Pearl HS 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002111"," Arctic Air FX T/C with Bearing Brown","Cfan_Eco","3134847912011","1400 MM ARCTIC AIR BROWN 1 STAR","1","  ","  ","Active","03/06/2025 15:36:27",
"ORIENT","30101002111"," Arctic Air FX T/C with Bearing Brown","Cfan_Eco","3134847931011","1400 Arctic Air Brown 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002111"," Arctic Air FX T/C with Bearing Brown","Cfan_Eco","3134862812010","1200mm Arctic Air FX BRN 1ST","1","  ","  ","Active","01/07/2025 18:08:08",
"ORIENT","30101002111"," Arctic Air FX T/C with Bearing Brown","Cfan_Eco","3134862832010","1200 Arctic Air FX Brown HS 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002112"," Arctic Air FX T/C with Bearing White","Cfan_Eco","3134847911011","1400 MM ARCTIC AIR WHITE 1 STAR","1","  ","  ","Active","03/06/2025 15:36:27",
"ORIENT","30101002112"," Arctic Air FX T/C with Bearing White","Cfan_Eco","3134847934511","1400 Arctic Air White 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101002112"," Arctic Air FX T/C with Bearing White","Cfan_Eco","3134862811010","1200MM Arctic Air FX WHT 1ST","1","  ","  ","Active","01/07/2025 18:08:08",
"ORIENT","30101002112"," Arctic Air FX T/C with Bearing White","Cfan_Eco","3134862831010","1200 Arctic Air FX White HS 210","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134848112010","1200mm Blitz + GLXYBRN 1 S HS","1","  ","  ","Active","09/08/2024 10:55:53",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134848112910","1200mm Blitz + RYLBGE 1 S HS","1","  ","  ","Active","09/08/2024 10:55:53",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134848118510","1200mm Blitz + SLPWHT 1 S HS","1","  ","  ","Active","09/08/2024 10:55:53",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134848132010","1200 Blitz+ G Brown HS 215","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134848132910","1200 Blitz+ R Biege HS 215","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134848138510","1200 Blitz+ SP White HS 215","1","  ","  ","Active","22/04/2026 15:57:32",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134883911010","1200 Blitz+ H SP White HS 215","1","  ","  ","Active","06/05/2026 19:16:38",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134883912010","1200 Blitz+ H G Brown HS 215","1","  ","  ","Active","06/05/2026 19:16:38",
"ORIENT","30101001902"," Blitz+ Motor Box","Cfan_Base","3134883912910","1200 Blitz+ H R Biege HS 215","1","  ","  ","Active","06/05/2026 19:16:38",
"ORIENT","24231180001"," OTATING PIVOT F 18""A.C.FAN","0012_AIRCIRCULATOR","2121803310400","450  MM WALL A/C 18 BLACK","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24231180001"," OTATING PIVOT F 18""A.C.FAN","Tpw_Air Circulator","2121804810900","450  MM AIR CIRCULATOR PED.FAN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24231180001"," OTATING PIVOT F 18""A.C.FAN","Tpw_Air Circulator","2122403410900","600  MM WALL-24 FAN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24231180001"," OTATING PIVOT F 18""A.C.FAN","Tpw_Air Circulator","2122404810800","600  MM AIR CIRCULATOR 24","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134804910311","EOL 1200 MM SUMMER CHILL WHITE-SILVER-1S","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134804921011","EOL 1200 MM SUMMER CHILL WHT 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134804922011","EOL 1200 MM SUMMER CHILL BRN 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134813312511","EOL 1200 MM ORIENT DIOR IVORY 1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134813316811","EOL 1200 MM ORIENT DIOR TOPAZ GOLD 1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134815412011","EOL 1200 MM NORTON BROWN-1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134815412941","EOL 1200 MM NORTON HICKORY BROWN-1ST","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134815413151","EOL 1200 MM NORTON ROYAL MANIOCA-1ST","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134815414051","EOL 1200 MM NORTON EMBER ROSE 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134815414911","EOL 1200 MM NORTON IVORY-1STAR  ","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134815418911","EOL 1200 MMÂ NORTON PEARL WHITE-1ST","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134817812081","1200 MM GRATIA SHINE HS MAHOG BRN-1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134817814911","1200 MM GRATIA SHINE HS MET IVORY-1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134817911011","1200 MM GRATIA HS WHITE (RG) -1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134817912111","1200 MM GRATIA HS MATT BLACK (RG) -1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134821814610","1200 MM GRATIA HS PURPLE-1STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134834510240","EOL 1200 MM MORACE FLO ROASTED COFFEE 1S","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134834510810","EOL 1200 MM MORACE FLO TG -GOLDEN MET","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134834511310","EOL 1200 MM MORACE FLO DAYTONE GREY","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134834513150","EOL 1200 MM MORACE FLO RM- BRZ MET 1","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134834516710","EOL 1200 MM MORACE FLO SILKY SILVER","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134834517721","1200MM MOZART MTBLK AD 1S","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134834517980","1200MM MOZART MBC AD 1S","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Base","2134835811010","1200 MM SUMMER COOL WHITE *","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Base","2134835812010","1200 MM SUMMER COOL BROWN *","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Base","2134835812510","1200 MM SUMMER COOL P/IVORY *","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Base","2134835816950","1200 MM SUMMER COOL MBC *","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134840210711","1200 MM GRATIA AD TG-M/COPPER 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134840211011","1200 MM GRATIA AD P/M/WHITE 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134840214911","1200 MM GRATIA AD METALIC IVORY 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134840216711","1200 MM GRATIA AD SILKY SILVER 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134840216811","1200 MM GRATIA AD TOPAZ GOLD 1 STAR","1","  ","  ","Active","11/02/2026 17:39:57",
"ORIENT","26119040040","1 STAR BEE STKR MOTOR 48"" SV 4.0","Cfan_Deco","2134840218411","1200 MM GRATIA AD AZURE BLUE SILVER 1 ST","1","  ","  ","Active","11/02/2026 17:39:57",
